Drugname,Absorption/administration,Adverse effects,Contraindications,Distribution,Dosing/administration,Excretion,Indications,Interactions,Metabolism,Pharmacodynamics,Pharmacokinetics,Special notes,Special precautions,Structure/class,Toxicology,Withdrawal syndrome
FLUROQUINOLONES,PO – bioavailability of >95%. Note that absorption is impaired by divalent cations (same property as tetracyclines) and therefore should not be taken together with antacids.,"GIT effects – nausea, vomiting and diarrhea
CVS – may cause long QTc. Avoid fluroquinolones if patient is already on QT-prolonging drugs.
Cartilage damage and arthropathy – avoid prescribing in <18 years old.
Tendonitis/tendon rupture",, , , ,,,"Most fluroquinolones are renally cleared, either by glomerular filtration or tubular secretion. Dose reduction is needed in renal failure.
Moxifloxacin is the exception – it is hepatically metabolized, and dose should be reduced in hepatic failure (not renal failure)","Functions by blocking DNA gyrase and topoisomerase IV.
This prevents normal DNA transcription and replication.
Note that fluroquinolones were developed to have good Gram+ve and Gram-ve cover. They can be divided into three groups based on activity
Group 1 – norfloxacin. It is the least active of all fluroquinolones against Gram-ve and Gram+ve bacteria.
Group 2 – ciprofloxacin, which has excellent Gram-ve cover and moderate to good Gram+ve cover.
Effective against Enterobacter, Neisseria, Pseudomonas, Campylobacter and Haemophilus.
In particular, ciprofloxacin has the most effective Gram-ve cover.
It is effective against MSSA but not MRSA.
It has limited efficacy against strep and enterococcus.
Group 3 – moxifloxacin, which has excellent Gram-ve cover and good Gram+ve cover, having activity against staph and strep.
Overall, fluroquinolones do have coverage against atypical pneumonia agents (Chlamydia, legionella and mycoplasma) and against mycobacterium.
Hence, indications are as follows:
UTI – because all fluroquinolones (except moxi) achieve good levels in urine.
Bacterial diarrhea (salmonella, shigella)
Intra-abdominal infections
Respiratory infections
May be used to treat chlamydial infections.
Note that high level resistance to one fluroquinolone will generally confer resistance to all other members of this class. Resistance is due to:
Alteration in quinolone binding region
Alteration in permeability of the drug
May be plasmid related",, ,,Fluorinated analogs of nalidixic acid., , 
GLYCERYL TRINITRATE,"Multiple routes – S/L, I/V, Buccal, Nasal, Patch, oral (for example, isosorbide mononitrate)","Tachycardia and hypotension
Headache (note that the drug is safe in raised intra-ocular pressure)
Lightheadedness and dry mouth
Lightheadedness and dry mouth
Tachyphylaxis
This is probably due to a decrease in tissue sulfhydryl groups and can be partially prevented/reversed with a sulfhydryl-regenerating agent.
Methaemaglobinemia
Nitrite groups react with haemoglobin to form methaemaglobin (but remember that in adults, this tends to be insignificant)",,,,Via kidneys,"Angina of effort
Variant/Prinzmetal’s angina (coronary vasospasm)
Unstable angina
Mainly important because GTN reduces preload, and therefore reduces cardiac well tension and therefore, myocardial oxygen demand.",,The liver contains a high capacity organic nitrate reductase à this ultimately inactivates the drug (extensive first pass),"Taken up by vascular smooth muscle cells (and not cardiac, or skeletal muscle)
Denitrited by glutathione-S-transferase
Nitric oxide is then released. NO activates cGMP and reduces intracellular Ca2+.
This leads to vasodilation.
Organ system effects
Vasodilation – low dose leads to vasodilation first. Larger dose causes arteriolar dilation, leading to reduced BP and reduced afterload à this reduces myocardial oxygen demand.
Also causes a redistribution of blood flow in ischaemic cardiac tissues, leading to relief of angina symptoms.",,,"Hypotensive patients
Those patients with inferior/posterior MI
Patients which cannot increase cardiac output to compensate (e.g. severe AS, tamponade)
AVOID DRUG IN RICP
Significant tachycardia/bradycardia",Nitric and nitrous acid of alcohols,,
GLYCOPEPTIDE ANTIBIOTICS – VANCOMYCIN,IV only as very poorly absorbed from GIT. PO used in very limited circumstances to treat C.difficile.,"Common – present in 10% of cases but usually quite minor.
Phlebitis
Red man syndrome (due to histamine release)
Ototoxicity and nephrotoxicity (not common, but may have additive effect with gentamicin)",,Crosses BBB,,"Mainly renally excreted (up to 90%). Will accumulate in renal failure.
 ",,,,"Inhibits cell wall synthesis by binding to the D-ala—D-ala terminal of peptidoglycan (a portion of the bacterial cell wall) therefore preventing its elongation. This makes vancomycin useful in treating MRSA because MRSA changes its PBP binding site.
Effective only against G+ve bacteria.
Has synergistic effect with gentamicin and therefore can treat enterococcus effectively.
Can also cross the BBB.
Based on properties above, the indications are as follows:
MRSA
Treatment of penicillin-resistant pneumococcal meningitis (in combination with ceftriaxone, cefotaxime or rifampicin)
Given orally to treat C.difficile.",,,,Glycopeptide antibiotic,,
H2 RECEPTOR ANTAGONIST,,,,,,,,,,"Remember that the parietal cell has receptors for gastrin, histamine and ACh. Gastrin is released from the antral G-cells into the blood. This causes an increase in cytosolic Ca2+, which stimulates acid secretion from the H/K ATPase (the proton pump) on the canalicular surface.
The H2 receptor antagonists are competitive antagonists of the H2 receptor. They are highly selective and do not affect H1 or H3 receptors.
When given in usual doses, they inhibit 60-70% of 24 hour gastric secretion.
Indications as follows:
GORD
Peptic ulcer disease
Gastritis.
Adverse effects (with regards to cimetidine)
Cimetidine inhibits binding of dihydrotestosterone to androgen receptors. This inhibits metabolism of estradiol and increases serum prolactin levels. It may cause gynecomastia or impotence in men, and galactorrhea in women.","In particular, cimetidine is a strong inhibitor of hepatic CYP450 pathways. The T ½ of drugs metabolized by these pathways may be prolonged.
Ranitidine binds less avidly to CYP systems.",,,"Examples: cimetidine, ranitidine",,
HALOPERIDOL,"PO, IM, IV",As with previous page,,"Readily (but incompletely) absorbed
Highly lipid soluble, strong protein binding and large Vd – means that it has a longer clinical duration of action than can be predicted from T ½",,Urine,"Psychosis
Mania
Agitation/Tourette
Droperidol (a butyrophenone) is used together with fentanyl as neurolepanaesthesia.","Haloperidol may potentiate the effects of other CNS depressants, especially if used in conjunction with benzodiazepines
Reduced effect of Levodopa
Worsens Parkinson’s disease",Hepatic. Note that haloperidol has the least first-pass metabolism with bioavailability 65%.,"D2 receptor antagonist.
Also has α-blockade, serotonergic blockade, histaminergic blockade and muscarinic blockade (see previous page for side effect details)
Haloperidol has the highest chance of causing extra-pyramidal SES.",,,"Elderly – oversedation
Liver disease
CVS disease",Typical anti-psychotic of the Butyrophenone class.,,
HEPARIN,"IV or SC.
May be given either by intermittent dosing or by continuous infusion.
NOT IM – risk of haematoma.","Bleeding
HIT
This is a systemic hypercoagulable state, occurring in 1-4% of people receiving heparin for a minimum of seven days.
Surgical patients are at greatest risk.
Mortality and morbidity is due to thrombotic events (and not to bleeding). Venous thrombus usually occurs, but can be arterial.
Hence, perform platelet counts – be suspicious if patients on heparin develop new thrombus.
HIT should be treated by stopping heparin and commencing a direct thrombin inhibitor (e.g. dabigatran)
Idiosyncratic reactions
Allergy, alopecia, osteoporosis and mineralocorticoid deficiency.
 ","Patients with a chance of life-threatening bleeding/active bleeding
Severe thrombocytopaenia, GI ulcer, intracranial hypertension, severe hypertension, advanced renal and hepatic disease.
Patients with known allergic reaction (HIT)", ,"Monitor with APTT.
Measuring factor Xa levels may be helpful", ,"Clotting states –DVT/PE
Post-surgical/in-hospital prophylaxis.", , ,"Heparin binds to endothelial cells and plasma proteins
Its activity depends on the natural anticoagulant antithrombin III.
Antithrombin III inhibits clotting factor proteases, especially thrombin (IIa), IXa and Xa. In the absence of heparin, these reactions are slow, but they are accelerated ~1000x in the presence of heparin.
Active heparin molecules bind to AT III, causing a conformation change in AT III. This exposes its active site, allowing for more rapid interaction with proteases.
Binding of heparin with AT III will increase the degradation of factors IIa and Xa especially.
A side note about LMWH (enoxaparin)
LMWH works by inhibiting Factor Xa (and not factor IIa and IXa).
If LMWH is used weight based, it has predictable pharmacokinetics and plasma levels in patients with normal renal function. Therefore, LMWH levels are not commonly measured except in the setting of obesity, renal insufficiency or pregnancy.",,,"Elderly patient
Renal failure",Indirect thrombin inhibitor,"If major bleeding –cease drug. Specific antidote: protamine.
Protamine is a very basic, positive charged ion that binds to the negative charge of heparin and inactivates it (chemical antagonist). The stable heparin-protamine complex has no anti-coagulant activity.
1mg of protamine inactivates 100IU of heparin. Important to avoid excess protamine – itself acts as an anti-coagulant.", 
HISTAMINE,,,,,,,,,,"Its mechanism of action is to exert its influence by binding to histamine receptors, which are all GPCR. They may increase intracellular cAMP or intracellular Ca2+.
Appears to play a role in
Immediate allergic reactions and anaphylaxis
Gastric acid secretion
Functions as a neurotransmitter/neuromodulator
Has a role in immune modulation/chemotaxis of WBCs
Tissue and organ effects as follows:
Immune system
Causes vasodilation and increased permeability of vessels.
Chemoattractant for WBCs and neutrophils.
Histamine inhibits the release of lysosome contents, and inhibits some T- and B-cell function.
CVS effects
Vasodilation (leading to warmth/flushing/headache)
Oedema (due to increased capillary permeability)
Hypotension, and reflex increase in chronotropy
Histamine has direct inotropic effects on the heart too.
Respiratory
Increased bronchial reactivity – bronchoconstriction, especially in asthmatics.
Neurological system
Increased nociception
Increased itch.
May be related to satiety and weight gain (explains the weight gain when patients are given long term anti-psychotics)
GIT
Increased smooth muscle contraction (abdominal pain, diarrhea)
Increased secretion of gastric acid
Skin
Initiates the triple response.","Location of histamine
Most histamine is sequestered and bound in granules in mast cells and basophils.
Non mast cell histamine may be found in the brain, where it acts as a neurotransmitter. It is also found in the enterochromaffin-like cell (ECL cells) in gastric mucosa.
Release of histamine
Mast cells and basophils release histamine of IgE binds to their surface.
Complement may also bind to mast cells, releasing histamine.
It is possible for drugs (e.g. morphine) to release histamine.
Direct mechanical injury also releases histamine.",,,Biological amine,,
INDIRECT ACTING CHOLINOMIMETICS (CHOLINESTERASE INHIBITORS),All organophosphates (except echothiophate) are very lipid soluble and therefore can be absorbed through skin/lung/GIT and conjunctiva. They also easily penetrate the CNS.,,,"Quaternary carbamates (e.g. erdrophonium, neostigmine and pyridostigmine) are very ionized and not lipid soluble.
Tertiary amines (e.g. physiostigmine) may cross the BBB, and are therefore more toxic.
All organophosphates are very lipid soluble and will penetrate the CNS.",,,"Eye
Treatment of acute close angle glaucoma.
ACH-ase inhibitors cause contraction of the ciliary body, therefore allowing increased outflow of aqueous humor. Pilocarpine or physiostigmine may be used to treat ACAG.
NM junction
Erdrophonium is used in the diagnosis of myasthenia gravis.
Pyridostigmine or neostigmine may be used in the long term treatment of MG.
Neostigmine may also be used to reverse neuromuscular blockade in anaesthesia.
GIT/GUT
Post-op ileus/urinary retention
Others
Alzheimer’s disease (donepezil, rivastigmine)",,,"These drugs inhibit acetylcholinesterase and bytyrylcholinesterase, leading to increased acetylcholine at cholinoreceptors.
Quaternary alcohols (e.g. erdrophonium) bind electrostatically to ACh-ase. Their action is short-lived (2-10 minutes) due to the lack of covalent bonds.
Carbamate esters (e.g. neostigmine) have one covalent bond. The hydrolysis process takes correspondingly longer (30 minutes to 6 hours)
The organophosphates will form a covalent bond that is initially already very stable, and can further undergo a second step called “aging” that further stabilizes the bond.
Pralidoxime (a nucleophile) may be effective as an antidote against organophosphate poisoning if given before the aging process. It acts as a “cholinesterase regenerator”.
Organ system effects
CNS
Increased excitability, leading to convulsions, then coma and respiratory arrest.
CVS
Increased parasympathetic transmission – bradycardia (negative inotropy, dromotropy and chronotropy)
Effect on sympathetic ganglia may cause initial hypertension, but toxic doses cause marked bradycardia, reduced cardiac output and hypotension.
Neuromuscular blockade
Fasciculations, fibrillations and a depolarizing blockade (akin to Sux) may occur at toxic doses.
Mnemonic for cholinergic symptoms is SLUDGE-M (salivation, lacrimation, urination, defecation, GI upset, emesis and miosis)
The duration of action of cholinesterase inhibiting drugs is as follows:
Drug
Duration of action
Alcohols (e.g. erdrophonium)
5-15 minutes
Neostigmine
0.5-2 hours
Physiostigmine
0.5-2 hours
Pyridostigmine
3-6 hours
Demeconium
4-6 hours
Ambenonium
4-8 hours
Organophosphates
100 hours",,,,"Cholinesterase inhibitors are of three groups:
Alcohols and quaternary ammonium groups (e.g. erdrophonium)
Carbamates (e.g. neostigmine)
Organophosphates (e.g. echothiophate)","Patient usually present with SLUDGE-M symptoms, then convulsions, and then NM blockade.
Treatment is as follows:
Good supportive care
Decontamination (Shower, remove clothes, etc.)
Specific antidotes are atropine and pralidoxime. BZDs for seizure.
Intubation and ventilation for NM blockade
 ",
KETAMINE,"IV or IM.
Can be given as bolus/infusion","Salivation/bronchorrhoea, leading to laryngospasm
Emergence phenomena
RICP",Head injury and RICP are absolute CI.,"Very lipid soluble
Only IV anaesthetic agent that has low protein binding
Large Vd – 3L/kg","1-2mg/kg if induction
Pain dose is 0.1mg/kg, infusion is 0.1mg-0.3mg/kg
4mg/kg IM if procedural sedation",Urine,"Procedural sedation (Very useful in children – give IM)
Intravenous anaesthetic for induction
Pain management",,"Metabolised in the liver to norketamine (an active metabolite) and then conjugated to water soluble metabolites and excreted in the urine.
Distribution T ½: 11-16 minutes
Elimination T ½ : 2-4 hours
Duration of action: 5-10 minutes","NMDA receptor antagonist. It is the only IV anaesthetic agent that has significant analgesic properties
Organ system effects as follows:
CNS
It is a cerebral vasodilator and tends to increase cerebral blood flow and cerebral metabolic rate. Therefore, it is contra-indicated in RICP.
May be used for status epilepticus if other means are unsuccessful.
Emergence phenomenon – tends to be less severe and of lower incidence in children. Premedication with BZD may decrease incidence.
CVS
It produces transient by significant centrally mediated stimulation, therefore increasing HR and cardiac output.
It is thought to be a direct myocardial depressant, and this property may become apparent in the patients that are critically ill and have limited ability to increase their sympathetic drive.
Respiratory
Transient apnoea and hypoventilation if large dose given rapidly.
Importantly – causes lacrimation and salivation. May cause laryngospasm in children.
Relaxes bronchial s/m: consider in severe asthma
If used as a single drug, the respiratory response to hypoxia and hypercapnia is NOT affected",,,,Phencyclidine derivative,,
LITHIUM,"PO
Absorption is virtually complete in 6-8 hours.","Neurological
Very common. Tremor, ataxia and dysarthria are common. May also cause new psychiatric disturbances (mental confusion)
Endocrinology
Hypothyroidism
Renal
Nephrogenic DI à causes polyuria and polydipsia
Cardiac
Depresses SA node (CI in SSS and tachy-brady syndrome)
Pregnancy and post-partum
Lithium causes Ebstein’s anomaly
May also cross breast milk – results in lethargy, poor suck and poor reflexes.
Idiosyncratic
Acne, leukocytosis.",,"Initially distributed in TBW, with Vd ~0.5L/kg, rising to 0.7 to 0.9L/kg.
No protein binding, but some sequestration in bone.",,"Virtually entirely in urine. Clearance is ~20% of creatinine clearance.
Long T ½ – about 20 hours.","Bipolar affective disorder (especially manic phase)
Depressive disorders
Schizophrenia","Thiazide diuretics reduce clearance of lithium by 25%.
Clearance also reduced by NSAIDs.
Use of anti-psychotics may produce more severe extrapyramidal symptoms with lithium.",Nil,"Functions by inhibiting IP3 and GSK-3, which is a multifunctional protein kinase.
Overall acts to reduce α-adrenergic and muscarinic transmission.
Also inhibits adenylyl cyclase and second messenger systems, therefore causing hypothyroidism and Nephrogenic DI.",,,Pregnancy – renal clearance increases during pregnancy and clearance decreases post-partum.,Monovalent cation,"Therapeutic ODs are more common than intentional/accidental OD, due to changes in the patient’s status (that is ,decreased serum Na, increased diuretic use or fluctuating renal function)
Treatment is dialysis or supportive care.",
MACROLIDE ANTIBIOTICS, ,"GIT side effects are common (remember that erythromycin is used as a prokinetic in the ICU setting) – hence, nausea, vomiting and diarrhea are common.
Acute cholestatic hepatitis (hypersensitivity reaction). Characterized by fever, jaundice and impaired LFTs.",, , ,"Mainly in faeces and in bile. Minimal in urine. As such, there is no need for dose adjustment in renal failure.",,"It is a strong inhibitor of the CYP45- system, and therefore increases levels of drugs such as warfarin, phenytoin and theophylline.
It also increases the serum concentration of digoxin by increasing its oral bioavailability.","Metabolised in liver to inactive products.
It is a strong inhibitor of CYP450 enzymes and therefore increases the levels of drugs like warfarin and theophylline.","Functions by inhibition of protein synthesis by binding to the 50S ribosomal RNA
Spectrum of activity is against Gram+ve, Gram-ve and intracellular organisms.
Gram+ve: staph, strep, pneumococci and cornebacterium
Gram-ve: Neisseria, bordatella, rickettsia and campylobacter
Intracellular: Mycoplasma, chlamydia, listeria, legionella and certain mycobacterium.
As such, clinical indications as follows:
Respiratory infections
Community acquired pneumonia
Chlamydial infections
Note that these macrolides may be both bacteriostatic and bactericidal, depending on concentration of drug and organism susceptibility.
Resistance is generally plasmid encoded. Important to remember that cross resistance is complete. The following patterns of resistance are identified:
Reduced entry into cell
Increased efflux of drug
Modification of binding site at ribosome
Production of esterases that hydrolyze macrolides.",, ,,"These antibiotics contain a macrocyclic lactone ring, e.g. erythromycin, azithromycin and clarithromycin.", , 
METFORMIN,,,,,,,,,,"Main action is to reduce hepatic gluconeogenesis through activation of AMP-activated protein kinase.
Importantly – this glucose lowering action does not depend on functioning pancreatic β-cells and therefore produces less hypoglycaemia.
It is first line in treatment of T2DM because it is an insulin sparing agent and does not increase body weight or provoke hypoglycaemia.
Because it inhibits hepatic gluconeogenesis, it therefore impairs hepatic metabolism of lactic acid.
Major toxicity is severe lactic acidosis (dose related complication)
Contraindications as follows:
Renal disease
Hepatic disease
Any condition leading to hypoxia (e.g. CCF) due to accumulation of lactic acid.","Metformin is not plasma protein bound nor metabolized – it is excreted as the active compound by the kidney.
T ½ of 1.5 to 3 hours.",,,Biguanide,,
METHADONE,"PO, can also be given IV, SC, intrathecal and rectal.",Hepatic impairment may lead to accumulation and prolonged QT., ,"Well absorbed from the GIT, and has high bioavailability.", ,"Renal
 ", , ,"Hepatic – via CYP 3A4 and CYP 2D6 pathways.
It has a long T ½ – 25 to 50 hours. It is excreted in the urine and does not have any active metabolites.","Methadone is active at several receptors.
It is a potent µ receptor agonist
It blocks the NMDA receptor and blocks monoaminergic re-uptake.
As such, it has several useful indications:
Difficult to treat pain (E.g. cancer, neuropathic). Used based on the concept of opioid rotation.
Useful in detoxification of addictions – this is due to its good oral bioavailability and long T ½. It produces milder (but more prolonged) withdrawal signs and symptoms.",, , , , , 
METHOXYFLURANE/PENTHRANE,,"CNS (common) – drowsiness, disorientation, coughing, dislike of odor and headache.
Less common – hypotension, bradycardia and nephrotoxicity
Rare – Respiratory distress, bronchospasm, laryngospasm, malignant hyperthermia, hepatitis.","Renal failure
Previous hypersensitivity to fluorinated anaesthetics
CVS instability
Respiratory depression
Severe head injury or LoC
Inducing anaesthesia",,3ml at a time via Penthrox inhaler. Maximum of 6ml/day.,,"Prehospital analgesia in the conscious and haemodynamically stable patient.
Relief of pain in conscious patients undergoing short procedures (e.g. dressing change)",Tetracyclines – fatal nephrotoxicity,,"Powerful analgesic at sub-anaesthetic doses.
Organ system effects
CVS effects
Has myocardial depressant properties: may cause bradycardia, hypotension and reduced contractility.","Very soluble agent
Blood gas partition coefficient of 10-14. Also very soluble in fatty tissues.
Hence, very slow onset and offset if used as induction agent (and therefore should not be used as such).
Metabolism
50-70% metabolised in the liver to free fluoride and oxalic acid à causes dose related nephrotoxicity
20% excreted in air.
30% excreted in urine.",,"Elderly patients or those with DM à increased risk of nephrotoxicity
Nor for daily use",Volatile fluorinated hydrocarbon anaesthetic agent,,
METHYLXANTHINES,,"Theophylline has a very small therapeutic window.
Bronchodilation occurs at 5-20mg/L.
At 15mg/L, nausea, vomiting, anorexia and nervousness occurs.
Higher levels (>40mg/L) may precipitate seizures and arrhythmias. Importantly, note that seizures and arrhythmias may occur without any warning signs.",,600microg of theophylline/kg of body weight will increase serum theophylline by 1 microg/ml. Serum concentration of 10-20microg/ml is needed for smooth muscle relaxation.,,Urine,Bronchospasm,"Enzyme inhibitors (e.g. erythromycin, cimetidine and propranolol) may increase theophylline levels.
Enzyme inducers (e.g. phenytoin, barbiturates and smoking) may decrease levels.","Hepatic
Enzyme inhibitors (e.g. cimetidine and amiodarone) will dramatically increase its level.
Enzyme inducers (e.g. smoking, barbiturates) will dramatically decrease its level.
 ","Methylxanthines act by inhibition of phosphodiesterase (several different isoforms). This leads to increased cAMP, and therefore relaxation of smooth muscle, stimulation of cardiac cells and decreased activity of inflammatory cells.
Methylxanthines may also inhibit adenosine receptors (explains why adenosine is less effective in the presence of theophylline)
Of all the methylxanthines, theophylline is the most selective in its smooth muscle effects.
Organ system effects
Smooth muscle
Bronchodilation (used in severe asthma). No tolerance will develop.
May also limit histamine release from lung tissue.
The dose used for smooth muscle relaxation is limited by adverse effects in CNS.
CNS effects
Increased arousal
High doses à seizures and death
CVS
Positive inotropy and chronotropy (due to increased cAMP)
Other effects
May improve skeletal muscle contractility (improved diaphragm strength in COPD)
Weak diuretic effect (not significant clinically)
Stimulates gastric acid production",,,,,"Acute toxicity will cause symptoms as described above.
Theophylline toxicity also has increased β2-stimulation – hypokalemia, hyperglycaemia and mild metabolic acidosis may occur.
Chronic toxicity will cause milder GIT symptoms, but dysrhythmias and seizures can occur at lower levels of drug than in acute OD.
Treatment is as follows:
Good supportive care – attention to A, B, C and D.
Specific antidotes as follows:
Β-Blockers (e.g. esmolol) for dysrhythmias
Hypotension (due to over β2-stimulation) requires α-agonist agents (e.g. noradrenaline)
BZDs/barbiturates for seizures (note that phenytoin may worsen seizures, and other anti-convulsants usually do not work)
Enhanced elimination
Gastric lavage if significant quantities of sustained release preparations have been taken.
Whole bowel irrigation can be considered.
Multidose activated charcoal may help bind theophylline.
Haemodialysis is an option.",
METOCLOPRAMIDE,,,,,,,,,,"Dopamine (D2 receptor) antagonist)
Hence, used as a prokinetic
Increased esophageal peristaltic amplitude
Increased lower esophageal sphincter pressure
Enhanced gastric emptying.
No effect on small intestine/colonic activity
Indications
GORD
Pro-kinetic in ICU
Anti-emetic (due to central D2 receptor blockade)
However, because of its D2 receptor blockade, it has CNS effects
Extra-pyramidal side effects
Tardive dyskinesia
Elevated prolactin levels will cause galactorrhea, impotence and gynecomastia.",,,, ,,
METRONIDAZOLE,"Well absorbed PO, but may be given IV or PR if necessary.
Low protein binding (10-20%)","It is an inhibitor of CYP450 enzymes and may increase the activity of warfarin.
It has a disulfiram like effect and inhibits aldehyde dehydrogenase. Avoid taking with alcohol.
Other reactions include nausea, diarrhea, stomatitis and peripheral neuropathy",,"Widely distributed, and does penetrate the CSF", , ,,,Hepatic – may accumulate in hepatic failure and dose reduction is required.,"Metronidazole is taken up by anaerobes and then it is reduced to ferredoxin. This reduction will produce a toxic metabolite that kills anaerobes and protozoa.
Spectrum of activity is against anaerobic bacteria (e.g. clostridium and bacteroides) and sensitive protozoa (amebiasis).
Therefore, indications as follows:
Mixed intra-abdominal infections (in combination with other antibiotics)
C.difficile colitis
Bacterial vaginitis (where trichomonas is suspected – a single 2g dose may be enough)
Amebiasis
Giardiasis
Brain abscess",, ,,A nitro-imidazole anti-protozoan drug, , 
MONOAMINE OXIDASE INHIBITORS,PO,"Weight gain (serotonergic effect) and orthostatic hypotension
Amphetamine like effects – activation, insomnia and restlessness
Discontinuation syndrome may occur – psychosis, excitement",Concurrent use of TCA and SSRI are absolute contra-indications.,,,,,"SSRI/TCA
Life-threatening serotonin syndrome. Note that fluoxetine must be ceased 4 weeks prior to commencing a MAO-I and MAO-I must be ceased 2 weeks prior to commencing SSRI.
Sympathomimetics
Overall increased activity, e.g. ephedrine in over the counter cold preparations.
Foods rich in tyramine
Cheese, soy products, certain sausages (may get malignant hypertension)","Extensive first pass effect
Low bioavailability","Binds to MAO-A and MAO-B
This increases the levels of noradrenaline, adrenaline and serotonin at the CNS synapse, by reducing their metabolism.
It also reduces the metabolism of tyramine (tyramine is important because it acts as a catecholamine releasing agent)
MAO-Is also resemble amphetamine and therefore may have CNS stimulating effects.",,,,"Examples of MAO-I: moclobemide, isocarboxacid","MAO-I overdose leads to increased adrenergic and serotonergic activity
Autonomic instability
Psychosis
Confusion, delirium
 
Treatment is with cardiac monitoring and good supportive care.",
MORPHINE (pharmacokinetic profile),"Can be given PO, IV, SC, Intra-thecal, PR",,,"Rapidly leaves blood compartment and accumulates in highly perfused tissues – brain, heart, lung, kidney and spleen.",,Urinary,,,"Hepatic – glucuronidation to morphine-3-glucuronide. 10% converted to morphine-6-glucuronide.
Readily excreted in kidneys.
Noted that M3G and M6G are very polar and tend not to contribute significantly to CNS effects if used acutely. However, they do accumulate in renal failure, if large doses are given or if used over prolonged period.
M3G may cause seizures.
M6G may cause prolonged opioid action.",As above.,,Note that most opioids tend to have the same pharmacodynamic profile.,,"Phenantherene opioid (morphine, hydromorphone and oxymorphone)",,
NA VALPROATE,"PO, IV","Neurological SES – ataxia, fine tremor, coma and cerebral oedema in major OD.
 ",,"Bioavailability of 80%
It is very highly bound to plasma protein and very ionized – the Vd is essentially confined to extracellular water (0.15L/kg). This makes it a dialyzable toxin.",,Urine,"GTCS
Absence seizures (the drug of choice)
Useful in controlling myoclonic seizures
Can be used IV to treat status epilepticus
Bipolar disorder
Migraine prophylaxis","Na Valproate is an enzyme inhibitor – in increases the level of phenytoin and carbamazepine, as well as phenobarbital.
Because it is highly bound to plasma proteins, it displaces phenytoin from its binding site.","Hepatic enzymes.
T ½ ~15 hours.","Works by blocking Na+ current and therefore, probably blocking sustained high frequency repetitive firing of neurons.
May reduce NMDA receptor excitation
May also increase GABA levels.
All the above act to stabilize membrane potential and reduce seizure activity.",,,,A carboxylic acid,"Idiosyncratic reaction – severe hepatotoxicity (especially in the very young patients, or if patient already has pre-existing liver disease, and also if there are other hepatotoxins).
N/V, GIT upset
Thrombocytopaenia
Birth defects – spina bifida/CVS, orofacial abnormality",
NALOXONE,IV. IM may be used to prolonged duration of action., , ,"Localised in highly perfused tissues.
Short T ½ – 60 to 90 minutes.","0.1 to 0.4 mg, repeat as necessary. Also may be given IM.",Renal,"Reverses opioid toxicity
Diagnostic tool", ,Hepatic,"High affinity for the µ receptor. Limited affinity for κ and δ receptors.
When given alone (i.e. no agonist present) the drug is inert.
When given with an agonist, it reverses the opioid effect completely in 1-3 minutes.
Respirations, level of consciousness, pupil size and awareness of pain are normalized.
No tolerance nor withdrawal will develop.",, ,"Short T ½ – therefore, patient requires close monitoring and may need repeated doses.
Can precipitate withdrawal symptoms.
May precipitate APO due to sympathetic surge.",Pure competitive antagonist at the opioid receptor., , 
NITROUS OXIDE,,"Prolonged exposure (>2 to 4 hours) will lead to inactivation of vitamin B12
Increased risk of megaloblastosis and bone marrow suppression.
Diffusion hypoxia
Occurs due to large amounts of N2O diffuse rapidly back to the alveoli from the blood compartment at the end of the case.
Usually present after long cases and if high concentration of N2O used.
 ","Severe pulmonary hypertension
Avoid in pulmonary oedema/severe mitral stenosis
Pressure effect/trapped gas syndromes
Pneumothorax/bowel obstruction/air embolus/severe head injury (increased risk of pneumocranium)
Acute asthma and severe COAD
Patients that require >50% FiO2 to maintain adequate SpO2",,"Mask inhalation from blue cylinder.
Use 50:50 mix of O2 and N2O (no diffusion hypoxia). Can go up to 30:70 mix of O2 and N2O in short cases.",,"Procedural sedation in ED as single agent (performing reduction/manipulation/suturing)
Adjunct to other anaesthetic agents (e.g. lignocaine)",,,"Acts on numerous receptors in CNS and may interact with endogenous opioid receptors to provide pain relief.
Organ system effects
CVS
Has myocardial depressant effect in dose dependent fashion.
Reduced CO, SV and MAP but increased TPR (helps compensate for the reduction in CO)
Effect most marked in patients with limited CVS reserve.
Respiratory
Increased pulmonary vascular resistance
No significant respiratory depression/loss of airway reflexes.
CNS
In addition to analgesic properties, also has amnestic properties.","Poor solubility in both blood and tissues (blood-gas partition coefficient of 0.47).
Therefore arterial tension is rapidly reached and there is rapid equilibrium with brain tissues. Also, rapid elimination by the lungs after discontinuation.
Hence, rapid onset of action and rapid offset + recovery.
Probably not metabolized by the human body.
Low potency (MAC >100%) and cannot be used as a single agent for induction.",,,Gaseous anaesthetic agent,"If diffusion hypoxia is present à use 100% oxygen for 20-30 minutes to wash N2O out.
 ",
